204 102
3 7
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
6 7 7 6 7 6 6 6 7 7 6 6 6 6 6 6 6 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 6 6 6 6 6 6 6 6 6 6 6 6 6 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 5 6 6 6 6 6 6 6 5 6 5 6 5 5 6 5 6 5 6 
1 2 3 
4 5 6 
8 9 10 
11 12 13 
14 15 16 
17 18 19 
20 21 22 
23 24 25 
26 27 28 
29 30 31 
32 33 35 
34 36 38 
37 39 41 
40 42 44 
43 45 47 
46 48 50 
49 51 53 
52 54 55 
56 57 58 
59 60 61 
62 63 64 
65 66 67 
68 69 70 
71 72 73 
74 75 76 
77 78 79 
80 81 82 
83 84 85 
86 87 88 
89 90 91 
92 93 94 
95 96 97 
98 99 100 
1 7 101 
2 4 102 
3 8 11 
5 14 17 
6 20 23 
9 26 29 
12 32 34 
15 37 40 
16 43 46 
18 49 52 
19 56 59 
21 62 65 
22 68 71 
24 74 77 
25 80 83 
27 86 89 
28 92 95 
30 39 98 
31 51 63 
35 42 66 
38 54 69 
7 41 70 
44 75 87 
36 47 93 
10 50 78 
13 53 76 
55 81 90 
57 67 96 
60 72 88 
33 48 73 
58 79 99 
45 61 82 
85 97 101 
91 100 102 
2 64 94 
1 24 59 
3 15 22 
4 33 84 
5 26 38 
6 13 39 
8 57 81 
7 9 35 
11 17 86 
12 61 62 
14 63 77 
16 23 55 
18 21 50 
19 30 93 
25 27 32 
28 40 49 
29 44 71 
31 46 80 
20 34 58 
10 37 60 
36 41 89 
43 66 100 
47 53 85 
